User, Question, Answer
1,Age when starting musical instruction of any kind:,10-11
1,Age when starting musical study of primary instrument:,10-11
1,Age:,51-60
1,Are you currently (select one):,Undergraduate music minor
1,Do you have medical conditions impacting your ability to sing/play (long-term injury  asthma  TMJD  etc.),No medical condition
1,Do you take any blood pressure or anxiety medication(s):,No use of blood pressure/anxiety meds
1,Gender:,Male
1,Number of alcoholic drinks per month:,21-30
1,Number of professional performances given (approximate):,16-20
1,Number of total performances given (approximate):,41-50
1,Number of years studying primary voice/instrument:,3-5
1,Primary voice type or instrument:,Vocalist
1,Professional plan/career goals:,Music teacher.
1,Use of any recreational drugs:,No use of recreational drugs
61,Age when starting musical instruction of any kind:,10-11
61,Age when starting musical study of primary instrument:,10-11
61,Age:,51-60
61,Are you currently (select one):,Undergraduate music minor
61,Do you have medical conditions impacting your ability to sing/play (long-term injury  asthma  TMJD  etc.),No medical condition
61,Do you take any blood pressure or anxiety medication(s):,No use of blood pressure/anxiety meds
61,Gender:,Female
61,Number of alcoholic drinks per month:,21-30
61,Number of professional performances given (approximate):,16-20
61,Number of total performances given (approximate):,41-50
61,Number of years studying primary voice/instrument:,3-5
61,Primary voice type or instrument:,Vocalist
61,Professional plan/career goals:,Music teacher.
61,Use of any recreational drugs:,No use of recreational drugs
61,I am a generally healthy person.,100
61,My diet is healthy.,100
61,I get enough sleep on a regular basis.,0
61,I exercise regularly.,6
61,I regularly hydrate well enough to support my body and vocal/instrument endeavors.,50
61,I deal with stress well.,25
61,I am stressed more often than I should be.,0
61,I am a generally anxious person.,6
61,People who know me would say I am an anxious or stressed person.,100
61,I feel like I belong at this school/in this career/avocation (related to music).,0
61,I have perfect/absolute pitch.,0
61,I have strong relative pitch.,6
61,I consider myself to be a good musician.,50
61,I learn music easily.,25
61,I memorize music easily.,0
61,My voice/instrument teacher and I have a good relationship.,100
61,I am critical of myself in my lessons  or was critical of myself in lessons when I took lessons.,6
61,I am critical of myself in my practicing.,25
61,I tend to get sick near a performance.,6
61,I am a generally healthy person.,100
61,My diet is healthy.,0
61,I get enough sleep on a regular basis.,100
61,I exercise regularly.,50
61,I regularly hydrate well enough to support my body and vocal/instrument endeavors.,25
61,I deal with stress well.,100
61,I am stressed more often than I should be.,6
61,I am a generally anxious person.,100
61,People who know me would say I am an anxious or stressed person.,6
61,I feel like I belong at this school/in this career/avocation (related to music).,100
61,I feel like I belong in my teacher's studio of students.,0
61,I feel comfortable in my teacher's studio.,25
61,I feel comfortable performing in front of my musical colleagues.,0
61,My teacher believes in me and my vocal/instrumental ability.,6
61,My family believes in me and my vocal/instrumental ability.,100
61,I believe in myself and my vocal/instrumental ability.,50
61,My teacher understands my musical goals.,75
61,My teacher understands who I am as a person.,25
61,I am a confident singer/player.,0
61,I am a confident performer.,100
61,I am easily distractible.,100
61,I maintain my focus easily when singing/playing.,50
61,I maintain my focus easily when practicing.,100
61,I maintain my focus easily when performing.,6
61,Staying focused during a performance can be a struggle.,100
61,I believe I will have good audience turnout for my performances.,100
61,As a child  I was a natural performer.,25
61,I consider myself to be a natural performer.,50
61,Those who know me would consider me to be a natural performer.,75
61,I am sometimes down or depressed.,0
61,I am often down or depressed.,100
61,I like who I am as a person.,100
61,I like who I am as a singer/player.,100
61,I am a good singer/player.,50
61,I am a physically attractive person.,6
61,Others consider me to be a physically attractive person.,6
61,I have a good relationship with my family.,6
61,I have good relationships with my friends.,6
61,If I am in one  I am happy in my romantic relationship.,50
61,I am content with the frequency of my dating.,0
61,I have a good relationship with my romantic partner.,100
61,My romantic partner believes in me and my vocal/instrumental ability.,100
61,My romantic partner understands my musical goals.,0
61,My romantic partner understands who I am as a person.,75
61,My romantic partner supports me in my performances.,6
61,My romantic partner wants me to succeed with my voice/instrument.,0
61,I sometimes feel my success with my voice/instrument is intentionally sabotaged by my romantic partner.,50
61,I sometimes feel my success with my voice/instrument is unintentionally sabotaged by my romantic partner.,75
61,I sometimes have low self-esteem.,25
61,I often have low self-esteem.,6
61,I have other activities I take part in and enjoy besides singing/playing.,6
61,A career as a professional musician is important to me.,0
61,Performing music is very important to me.,25
61,I prefer performances to auditions.,50
61,Auditions make me nervous.,6
61,I consider myself to be a perfectionist.,0
61,Those who know me well would consider me to be a perfectionist.,100
61,I am a competitive person by nature.,100
61,I am a competitive person because of my musical/performance plans.,0
61,I enjoy a challenge.,0
61,I enjoy a competition.,100
61,I tend to have anxiety about performances.,0
61,I tend to have anxiety about auditions.,75
61,My teacher understands my performance anxiety fully.,6
61,My romantic partner understands my performance anxiety fully.,6
61,Only a small percentage of singers/instrumentalists will actually sing/play for a living.,75
61,I am disheartened by the odds for success as a singer/instrumentalist.,50
61,I believe that  even if I don't sing/play for a living  I will be happy.,0
61,Singing/playing is my top priority.,6
61,Singing/playing is very high on my priority list.,0
61,I consider myself to be a religious or spiritual person.,0
61,I regularly attend religious services.,75
61,I believe that a higher power is looking out for me.,25
61,I believe that things happen for a reason.,75
61,I believe that I choose what happens in my own life.,0
61,I believe that much of my life has already been decided for me.,0
61,I have complete control over the course my musical career takes.,100
61,I have too little control over the course my musical career takes.,50
61,I like to be in control.,0
61,I feel uncomfortable if I don't have enough control.,100
61,I feel uncomfortable if I have too much control.,100
61,I deal well with conflicts.,25
61,I am a non-confrontational person.,0
61,My family and friends come to support me in my performances.,100
61,I have a good support system in my family and/or friends.,100
61,My friends and family want me to succeed with my voice/instrument.,6
61,My friends and family understand my performance anxiety fully.,50
61,I sometimes feel my success with my voice/instrument is intentionally sabotaged by my friends/family.,75
61,I sometimes feel my success with my voice/instrument is unintentionally sabotaged by my friends/family.,25
61,There is a person or there are people who care about me succeeding as much as I do.,0
61,I have a plan for combating any performance anxiety I might experience.,0
61,I have a method for coping with stress that works.,100
61,I plan too much for myself.,50
61,I am good about setting boundaries and not taking on too much.,25
61,I have personally experienced performance anxiety in my life.,100
61,I have personally experienced performance anxiety in the recent past.,25
61,I used to get nervous  but don't tend to do that anymore.,100
61,I am an introverted individual.,100
61,I am an extroverted individual.,100
61,I fear the future.,0
61,I am a positive thinker.,100
61,I'm often negative.,100
61,Important people will be at my performances.,100
61,I am embarrassed by my nervousness.,6
61,My heart is races when I perform.,25
61,I breathe faster than normal when I perform.,0
61,I sweat because of anxiety when I perform.,0
61,I get cold because of anxiety when I perform.,75
61,I can't get motivated for performances.,25
61,I am more critical of myself than usual when a performance is imminent.,0
61,I have trouble staying focused when anticipating a performance.,25
61,I make more mistakes than I should when anticipating a performance.,75
61,I imagine the worst when anticipating a performance.,0
61,My voice is affected by my nervousness during a performance.,50
61,My teacher doesn't think I perform as well as I should.,25
61,My peers don't think I perform as well as I should.,75
61,My family/friends don't think I perform as well as I should.,100
61,My romantic partner doesn't think I perform as well as I should.,0
61,My stomach gets upset when I perform.,50
61,I feel jittery when I perform.,0
61,I feel uneasy when I perform.,100
61,During performances I am concerned about the outcome of that performance.,75
61,I have memory slips because of anxiety when I perform.,0
61,I have trouble sleeping when anticipating a performance.,0
61,My eating habits change because of anxiety when anticipating a performance.,0
61,Anxiety affects the amount of practicing I do.,0
61,Anxiety affects the quality of my practicing.,0
61,My sleep habits are affected by anxiety.,0
61,I become irritable because of anxiety.,0
61,I drink more alcohol because of anxiety.,100
61,I use recreational drugs because of anxiety.,100
61,I procrastinate because of anxiety.,0
61,My relationships are affected by my anxiety.,25
61,My general activity level is affected by anxiety.,0
61,My throat gets dry because of anxiety during performances.,0
61,I often want to cancel or reschedule my performances because of anxiety.,0
61,I'd rather be singing/playing in a practice room than in front of people.,0
61,Nervousness is negatively affecting my musical progress.,0
61,I am driven to do my best.,100
61,My quality of performing/singing/playing is consistent.,100
